iter	Passed	Remaining
0	165	165552
1	167	83416
2	168	55991
3	169	42239
4	171	34073
5	172	28613
6	174	24707
7	175	21784
8	177	19496
9	178	17678
10	179	16168
11	180	14899
12	182	13829
13	183	12924
14	184	12143
15	186	11466
16	187	10857
17	189	10323
18	190	9845
19	192	9418
20	193	9031
21	195	8671
22	196	8338
23	197	8036
24	198	7760
25	200	7502
26	201	7260
27	202	7034
28	203	6823
29	205	6641
30	206	6459
31	207	6286
32	209	6125
33	210	5972
34	211	5827
35	212	5690
36	213	5555
37	214	5432
38	215	5315
39	216	5205
40	218	5101
41	219	5002
42	220	4908
43	221	4817
44	222	4729
45	224	4645
46	225	4567
47	226	4488
48	227	4412
49	228	4344
50	229	4278
51	231	4214
52	232	4153
53	233	4093
54	234	4034
55	235	3978
56	237	3923
57	238	3873
58	239	3822
59	240	3773
60	242	3728
61	243	3682
62	244	3639
63	246	3597
64	247	3559
65	248	3518
66	249	3478
67	250	3439
68	251	3394
69	252	3358
70	253	3316
71	254	3280
72	255	3245
73	256	3211
74	257	3177
75	258	3145
76	259	3113
77	260	3083
78	261	3053
79	263	3024
80	263	2992
81	264	2966
82	266	2940
83	267	2915
84	268	2892
85	270	2870
86	271	2847
87	272	2825
88	273	2803
89	275	2780
90	276	2758
91	277	2738
92	279	2724
93	280	2705
94	281	2681
95	282	2660
96	284	2643
97	285	2625
98	286	2607
99	287	2590
100	289	2574
101	290	2557
102	291	2541
103	292	2523
104	294	2507
105	295	2492
106	296	2477
107	298	2461
108	299	2450
109	301	2435
110	302	2421
111	303	2407
112	304	2388
113	305	2373
114	306	2359
115	308	2347
116	312	2359
117	314	2351
118	318	2357
119	320	2347
120	323	2352
121	326	2349
122	329	2346
123	330	2337
124	332	2327
125	333	2315
126	335	2302
127	336	2291
128	337	2278
129	338	2266
130	339	2255
131	341	2243
132	342	2231
133	343	2219
134	344	2207
135	345	2195
136	346	2183
137	347	2171
138	348	2160
139	349	2148
140	350	2137
141	352	2127
142	353	2117
143	354	2107
144	355	2096
145	356	2085
146	357	2075
147	358	2065
148	359	2054
149	360	2044
150	361	2035
151	363	2025
152	364	2015
153	365	2005
154	366	1995
155	367	1986
156	368	1977
157	369	1968
158	370	1959
159	371	1952
160	373	1944
161	374	1936
162	375	1928
163	376	1919
164	377	1911
165	378	1903
166	380	1896
167	381	1889
168	382	1881
169	383	1874
170	384	1866
171	386	1858
172	387	1850
173	388	1843
174	389	1835
175	390	1827
176	391	1820
177	392	1812
178	393	1805
179	394	1797
180	395	1790
181	396	1783
182	397	1776
183	399	1769
184	400	1763
185	401	1756
186	402	1749
187	403	1742
188	404	1735
189	405	1729
190	406	1722
191	407	1716
192	408	1709
193	410	1703
194	411	1697
195	412	1691
196	413	1685
197	414	1678
198	415	1672
199	416	1666
200	417	1660
201	418	1654
202	419	1648
203	421	1642
204	422	1637
205	423	1631
206	424	1625
207	425	1619
208	426	1613
209	427	1608
210	428	1602
211	429	1597
212	430	1591
213	431	1586
214	432	1580
215	434	1575
216	435	1570
217	436	1564
218	437	1559
219	438	1554
220	439	1549
221	440	1544
222	441	1539
223	442	1534
224	444	1529
225	445	1524
226	446	1519
227	447	1514
228	448	1509
229	449	1504
230	450	1499
231	451	1494
232	452	1490
233	453	1485
234	454	1480
235	455	1476
236	457	1471
237	458	1466
238	459	1462
239	460	1457
240	461	1453
241	462	1448
242	463	1443
243	464	1439
244	465	1435
245	466	1430
246	467	1426
247	468	1421
248	470	1417
249	471	1413
250	472	1408
251	473	1404
252	474	1400
253	475	1395
254	476	1391
255	477	1387
256	478	1383
257	479	1379
258	480	1375
259	482	1372
260	483	1368
261	484	1364
262	485	1360
263	486	1356
264	487	1353
265	488	1349
266	490	1345
267	491	1341
268	492	1338
269	493	1334
270	494	1330
271	495	1326
272	496	1322
273	497	1318
274	498	1314
275	499	1310
276	500	1306
277	501	1303
278	502	1299
279	503	1295
280	504	1291
281	505	1287
282	506	1284
283	508	1280
284	509	1277
285	510	1274
286	511	1271
287	512	1267
288	513	1264
289	514	1260
290	516	1257
291	517	1253
292	518	1250
293	519	1246
294	520	1243
295	521	1240
296	522	1236
297	523	1233
298	524	1230
299	526	1227
