iter	Passed	Remaining
0	1	1899
1	3	1726
2	4	1563
3	5	1482
4	7	1441
5	8	1413
6	9	1388
7	10	1362
8	12	1344
9	13	1336
10	15	1359
11	16	1341
12	17	1339
13	18	1334
14	20	1320
15	21	1314
16	22	1306
17	23	1297
18	24	1287
19	26	1280
20	27	1278
21	28	1281
22	30	1279
23	32	1310
24	33	1305
25	34	1305
26	36	1299
27	37	1294
28	38	1287
29	39	1281
30	40	1278
31	42	1275
32	43	1283
33	45	1280
34	46	1275
35	47	1280
36	49	1282
37	50	1279
38	51	1274
39	53	1275
40	54	1270
41	55	1265
42	56	1258
43	57	1259
44	59	1262
45	60	1259
46	62	1257
47	63	1251
48	64	1245
49	65	1240
50	66	1234
51	67	1228
52	68	1222
53	69	1217
54	70	1215
55	71	1210
56	73	1212
57	74	1211
58	75	1209
59	76	1205
60	78	1203
61	79	1200
62	80	1195
63	81	1191
64	82	1187
65	83	1183
66	84	1178
67	85	1175
68	86	1172
69	88	1172
70	89	1171
71	91	1175
72	92	1178
73	93	1174
74	94	1170
75	95	1167
76	97	1163
77	98	1160
78	99	1156
79	100	1153
80	101	1150
81	103	1154
82	104	1153
83	105	1150
84	106	1148
85	107	1145
86	109	1144
87	110	1142
88	111	1137
89	112	1134
90	113	1131
91	114	1131
92	115	1129
93	116	1127
94	118	1128
95	119	1126
96	120	1120
97	121	1115
98	122	1112
99	123	1112
100	124	1110
101	125	1108
102	127	1106
103	128	1104
104	128	1099
105	130	1096
106	131	1094
107	132	1096
108	134	1095
109	135	1096
110	136	1094
111	137	1093
112	139	1091
113	140	1089
114	141	1088
115	142	1085
116	143	1085
117	144	1083
118	146	1081
119	147	1081
120	148	1080
121	149	1078
122	150	1076
123	152	1074
124	153	1073
125	154	1071
126	155	1069
127	157	1073
128	158	1073
129	160	1071
130	160	1067
131	162	1071
132	164	1070
133	165	1068
134	166	1066
135	168	1068
136	169	1067
137	171	1068
138	172	1067
139	173	1065
140	174	1063
141	175	1060
142	178	1067
143	179	1065
144	180	1064
145	181	1061
146	183	1062
147	184	1061
148	185	1060
149	187	1059
150	188	1058
151	189	1056
152	190	1053
153	191	1052
154	193	1053
155	194	1052
156	195	1051
157	196	1048
158	198	1048
159	199	1048
160	200	1046
161	201	1043
162	203	1042
163	204	1040
164	205	1038
165	206	1038
166	208	1037
167	209	1036
168	210	1034
169	212	1037
170	214	1038
171	215	1036
172	216	1033
173	217	1031
174	218	1029
175	219	1027
176	221	1028
177	222	1028
178	223	1026
179	225	1025
180	226	1023
181	227	1023
182	229	1022
183	230	1021
184	231	1020
185	232	1018
186	233	1016
187	234	1014
188	236	1014
189	237	1012
190	238	1011
191	240	1011
192	241	1009
193	242	1008
194	244	1007
195	244	1003
196	246	1003
197	247	1001
198	248	1000
199	249	998
200	251	998
201	252	997
202	253	995
203	254	994
204	256	993
205	257	991
206	258	989
207	259	988
208	260	986
209	261	984
210	262	982
211	263	980
212	265	979
213	266	979
214	267	978
215	269	977
216	270	975
217	271	973
218	272	970
219	273	969
220	274	967
221	275	965
222	276	963
223	277	962
224	278	960
225	279	958
226	281	957
227	282	955
228	283	954
229	284	952
230	285	951
231	286	949
232	287	947
233	288	945
234	289	943
235	290	941
236	292	940
237	293	938
238	294	936
239	296	938
240	297	937
241	298	935
242	299	933
243	300	932
244	302	931
245	303	930
246	304	928
247	306	927
248	307	926
249	308	924
250	310	926
251	311	925
252	312	923
253	313	921
254	314	920
255	315	917
256	316	916
257	318	914
258	319	914
259	321	914
260	322	912
261	323	911
262	325	911
263	326	910
264	327	908
265	329	908
266	330	906
267	331	905
268	332	903
269	333	902
270	334	900
271	335	899
272	337	897
273	338	896
